id,mpn_raw,mpn_normalized,description_text,manufacturer_raw,source_field,source_system,contract_no
279,11776193122,11776193122,"REAGENT CHEMISTRY 100 TEST CA19-9 ELECSYS COBAS E","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
280,11776223161,11776223161,"REAGENT CHEMISTRY 100 TEST CA 125 II ELECSYS","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
280,11776223161,11776223161,"TESTPACK, CA 125 II (100)","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
280,11776223161,11776223161,"CALIBRATOR IMMUNOLOGY COBAS ELECSYS CA 125 2 PH 7.1-7.4 LIQUID BEAD CLEAR RED BROWN IVD 100TEST/EA","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
281,11776576322,11776576322,"VIAL ANALYZER BOTTLE EMPTY W/SNAP-CAP F/COBAS ELECSYS E 402/411 56/PK","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
281,11776576322,11776576322,"VIAL IMMUNOLOGY CAL SET ELECSYS COBAS E","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
316,11930346122,11930346122,"REAGENT SYSWASH ELECSYS 500ML","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
316,11930346122,11930346122,"REAGENT CHEM ANALYZER WASH","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
334,11972103160,11972103160,"REAGENT CHEMISTRY 100 TEST PARATHYROID HORMONE COB","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
334,11972103160,11972103160,"REAGENT CHEM ANALYZER COBAS E ELECSYS PTH","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
334,11972103160,11972103160,"TESTPACK, PTH (100)","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
358,12017717122,12017717122,"SET CALIBRATOR CHEMISTRY COBAS T4 1SET/2X1ML LEVEL-1/2 IVD","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
358,12017717122,12017717122,"CALIBRATOR CHEMISTRY T4 CALSET 4ML","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
370,12102137001,12102137001,"ASSAY IMMUNOLOGY CUPS/TIPS COMBIMAGAZIN M ELECSYS","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
370,12102137001,12102137001,"TIP/CUP ANALYZER ASSAY MODULAR E 48/BX","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
377,121466,121466,"FORK TUNING 128 CYCLE MIDRANGE VIBRATION BASELINE","PERFORMANCE HEALTH INC",Facility_Product_Description,PO_PREMIER,PP-NS-1680
377,121466,121466,"FORK, TUNING 128 CYCLE","PERFORMANCE HEALTH SUPPLY, INC.",Facility_Product_Description,PO_PREMIER,PP-NS-1680
377,121466,121466,"FORK TUNING BASELINE 128CPS 1IN X 8IN X 2IN 0.5LB WEIGHTED F/EVALUATING HEARING VIBRATION SENSATION EA","FABRICATION ENTERPRISES, INC.",Product_Description,PO_PREMIER,PP-NS-1680
379,121902,121902,"BAND, STRENGTH MED GREEN","PERFORM BETTER",Facility_Product_Description,PO_PREMIER,PP-NS-1680
