seq_no,Line_Description,contract_number
70767,"APPLIER, ENDOCLIP 10MM",PP-OR-1487
70769,"RELOAD, GIA 80MM - 3.8MM",PP-OR-1487
70809,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
70810,"RELOAD, SIGNIA TRI-STAPLE 2.0 30 MM CURVED TIP ARTICULATING VASCULAR/MEDIUM",PP-OR-1487
70811,"RELOAD, ENDO GIA ROT VASCULAR MED TAN 45MM",PP-OR-1487
70812,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
72174,"STAPLER, SHELL SIGNIA POWER CONTROL",PP-OR-1487
74430,"STAPLER, SHELL SIGNIA POWER CONTROL",PP-OR-1487
74461,"DEVICE, ORVIL EEA DTS SERIES 25MM",PP-OR-1487
74468,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
74469,"APPLIER, ENDOCLIP 10MM",PP-OR-1487
74473,"RELOAD, ENDO GIA ROT VASCULAR MED TAN 45MM",PP-OR-1487
74474,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM EXTRA/THCK",PP-OR-1487
75220,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
75221,"STAPLER, DST SERIES GIA 100MM - 3.8MM RELOADABLE",PP-OR-1487
75222,"STAPLER, TA 60-3.5",PP-OR-1487
